column_one_csv,column_one_csv
0.405928367,0.441369993
0.480998818,0.305844271
0.68654195,0.814405983
0.848605997,0.214992434
0.528240436,0.936230472
0.176890198,0.029194327
0.551280913,0.060355377
0.44020435,0.65147637
0.371795409,0.82615206
0.003554513,0.29849412
0.970545498,0.466073959
0.966669527,0.5667472
0.210600675,0.452110079
0.648467126,0.510484979
0.962347238,0.517792261
0.989527854,0.344946075
0.249250162,0.669974315
0.586033761,0.050973676
0.695742106,0.779937784
0.700195372,0.223429904
0.534633883,0.253805507
0.473296681,0.489959073
0.344205842,0.059667417
0.964039545,0.097041957
0.478989477,0.924863224
0.488788391,0.817237644
0.303579885,0.882202967
0.087931339,0.683741281
0.454201972,0.365385573
0.768634311,0.980765192
0.83201948,0.567184211
0.456350774,0.886722208
0.655723422,0.725849627
0.017161902,0.953526373
0.559318824,0.167761966
0.669743477,0.672076149
0.490795389,0.513078595
0.00501285,0.925758336
0.340760641,0.14014051
0.423004462,0.202948424
0.023377404,0.11887063
0.750604764,0.831862817
0.864221266,0.200985836
0.790261694,0.91205802
0.262277984,0.50967938
0.608263677,0.944046587
0.253645463,0.814544127
0.161884869,0.964167922
0.195503964,0.235143699
0.01346368,0.27274329
0.630559293,0.852571075
0.808492233,0.00072029
0.112317104,0.32536429
0.149157219,0.88472967
0.13893741,0.481941277
0.89276411,0.511185431
0.677749805,0.277489697
0.244973216,0.445304483
0.536912175,0.533138249
0.641239428,0.86393513
0.903996949,0.451654783
0.534854168,0.748747521
0.471354243,0.778287284
0.570702253,0.883361053
0.25824026,0.198276653
0.194655302,0.726339574
0.555015585,0.900978258
0.200484228,0.926388995
0.391762213,0.869508658
0.278582948,0.676219506
0.713850076,0.574987153
0.609918348,0.484610577
0.951936737,0.559984902
0.108928215,0.267282074
0.32547188,0.082044289
0.555248765,0.228281912
0.624966925,0.138528456
0.083206867,0.188794146
0.49706947,0.583821233
0.498650268,0.592474271
0.284832248,0.289165387
0.534278655,0.135157626
0.280756534,0.740845606
0.129144345,0.672951978
0.287364021,0.128570082
0.160267539,0.978469003
0.146606249,0.333922045
0.839163408,0.504735929
0.707496702,0.589185315
0.222262639,0.770532643
0.616759636,0.816094535
0.102692626,0.236307051
0.132840974,0.15454118
